url_length,domain_length,path_length,path_depth,num_subdomains,num_queries,url_entropy,domain_entropy,path_entropy,url_digit_ratio,domain_digit_ratio,path_digit_ratio,dot_count,at_count,dollar_count,underscore_count,dash_count,question_mark_count,percent_count,ampersand_count,hash_count,suspicious_words_url,suspicious_words_domain,suspicious_words_path,prefix_suffix,suspicious_tld,tld_in_subdomain,tld_in_path,has_ip,https,num_redirects,creation_days,expiry_days,ssl_expiry,has_port_in_url,non_standard_port,shortened_url,hosted_website,punycode,tranco_indexed,target
45,8,6,1,1,0,4.391635874011299,2.75,1.5,0.1111111111111111,0.0,1.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9373,122,61,0,0,0,1,0,1,0
54,15,17,2,1,1,4.277286577314934,2.6062389286533896,3.375,0.0681818181818181,0.0,0.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8110,290,31,0,0,0,0,0,0,0
94,5,66,1,2,0,4.625075459472374,2.321928094887362,4.369166091391515,0.1052631578947368,0.0,0.1481481481481481,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,90,274,-1,0,0,0,0,0,0,0
43,3,30,2,0,0,4.051394627288987,1.584962500721156,3.5780011510322702,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8386,14,66,0,0,0,0,0,0,0
53,9,30,2,1,0,4.213980247817397,2.94770277922009,3.767375797816042,0.0,0.0,0.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7258,46,65,0,0,0,0,0,0,0
52,8,19,3,1,0,4.496032208850886,2.75,3.794653473544342,0.1395348837209302,0.0,0.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9373,122,61,0,0,0,1,0,1,0
61,9,37,1,1,0,4.191177764801333,2.5032583347756456,3.8746697102453487,0.0,0.0,0.0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6629,310,88,0,0,0,0,0,0,0
95,4,16,2,1,0,4.61664436270275,1.5,2.9995812306460645,0.131578947368421,0.0,0.0,3,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9878,631,-1,0,0,0,0,0,1,0
48,3,20,1,2,0,4.563721875540867,1.584962500721156,3.826874881864638,0.1842105263157894,0.3333333333333333,0.1875,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9812,780,60,0,0,0,0,0,1,0
46,17,17,2,0,0,4.074191641642728,3.3371753411230767,3.327819531114783,0.0526315789473684,0.0,0.1538461538461538,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0
